Date,UserID,Product,Quantity,Price
2023-11-23,814,Mouse,1,946.16
2024-02-03,195,Laptop,5,905.61
2023-11-02,197,Monitor,5,657.19
2023-07-26,412,Monitor,2,172.91
2024-06-07,929,Monitor,4,901.81
2023-12-17,35,Printer,4,276.04
2023-08-08,1,Keyboard,2,384.5
2024-06-23,99,Keyboard,3,292.09
2024-02-04,319,Printer,2,941.03
2024-06-22,496,Printer,3,892.01
2023-07-23,840,Laptop,1,194.76
2024-01-26,997,Monitor,3,876.58
2023-11-13,666,Printer,1,133.64
2024-07-18,865,Printer,4,320.13
2024-06-29,653,Mouse,2,104.73
2023-11-21,537,Mouse,4,187.54
2023-11-20,395,Keyboard,4,429.08
2023-09-13,33,Monitor,5,630.55
2024-03-18,738,Laptop,5,38.0
2024-02-25,631,Monitor,1,757.32
2023-08-02,829,Printer,1,116.52
2024-06-13,906,Keyboard,2,330.61
2024-02-28,830,Monitor,2,303.34
2024-06-23,459,Printer,1,491.38
2024-06-30,514,Printer,5,197.4
2023-08-04,67,Mouse,4,40.9
2023-08-30,432,Keyboard,4,112.76
2023-07-24,543,Keyboard,2,577.57
2023-12-24,872,Mouse,3,369.9
2024-04-27,169,Mouse,5,537.91
2023-07-29,556,Monitor,3,307.5
2023-11-13,822,Monitor,4,826.66
2023-09-24,101,Laptop,1,33.55
2023-08-20,265,Keyboard,4,830.94
2023-08-18,281,Keyboard,2,544.8
2023-11-14,294,Mouse,5,900.24
2024-04-05,81,Laptop,4,836.41
2023-07-28,419,Mouse,4,903.97
2024-06-13,905,Monitor,5,241.97
2024-03-07,796,Mouse,3,327.91
2023-10-24,942,Printer,2,603.36
2023-08-30,146,Keyboard,3,582.59
2023-12-02,929,Laptop,3,240.64
2023-07-25,696,Laptop,3,95.05
2024-04-26,770,Monitor,1,723.38
2024-02-20,776,Laptop,4,263.51
2024-06-21,889,Keyboard,3,170.52
2024-02-17,305,Keyboard,1,572.72
2024-02-10,797,Mouse,4,443.48
2024-06-09,991,Laptop,1,778.82
2024-06-28,376,Printer,2,721.95
2024-01-03,894,Keyboard,2,380.69
2024-05-06,424,Printer,4,389.36
2024-04-28,198,Keyboard,4,507.07
2024-06-07,231,Laptop,2,431.08
2023-09-05,324,Printer,1,779.21
2023-10-10,315,Monitor,4,608.23
2023-08-04,572,Laptop,3,776.09
2023-09-24,165,Keyboard,3,612.9
2023-11-09,878,Mouse,5,569.23
2024-03-04,896,Mouse,5,505.04
2024-02-04,988,Laptop,4,216.12
2023-11-20,368,Mouse,3,888.82
2023-09-22,362,Printer,2,998.35
2024-01-06,645,Monitor,5,209.4
2023-10-31,11,Monitor,1,826.17
2024-04-28,636,Monitor,2,511.71
2023-10-12,960,Printer,3,226.27
2023-07-27,708,Printer,4,326.97
2024-01-10,635,Printer,2,579.69
2023-08-30,704,Printer,4,896.24
2023-11-11,801,Keyboard,3,309.21
2024-06-05,616,Laptop,2,251.1
2024-01-03,556,Mouse,2,942.71
2023-09-26,795,Printer,1,540.88
2024-01-17,183,Mouse,3,161.14
2024-02-27,814,Printer,4,175.69
2023-12-23,963,Printer,1,76.77
2023-09-29,639,Mouse,1,120.83
2024-02-15,540,Printer,5,191.68
2024-01-19,374,Mouse,4,577.05
2023-10-02,129,Keyboard,3,560.21
2024-03-03,617,Mouse,3,406.78
2023-08-14,941,Printer,4,787.6
2024-06-10,346,Keyboard,3,947.27
2023-12-20,84,Monitor,2,943.51
2024-05-07,241,Laptop,4,103.17
2023-12-07,18,Mouse,2,85.52
2024-03-10,162,Keyboard,4,924.4
2024-07-03,370,Laptop,3,915.6
2024-01-17,808,Mouse,3,551.35
2024-06-16,779,Monitor,2,676.36
2024-04-22,208,Printer,5,263.59
2023-12-01,786,Monitor,1,28.23
2024-01-11,223,Mouse,2,605.9
2023-09-13,564,Keyboard,4,972.1
2023-11-06,752,Printer,2,757.76
2023-12-09,121,Keyboard,4,752.17
2024-01-18,488,Monitor,4,825.8
2023-12-18,35,Laptop,3,191.81
2023-08-06,477,Monitor,5,880.43
2023-08-07,582,Keyboard,4,36.69
2023-11-24,637,Laptop,5,739.44
2023-09-22,127,Mouse,1,100.06
2024-01-06,802,Laptop,5,219.03
2023-12-19,137,Mouse,1,852.43
2023-09-25,839,Printer,3,70.18
2024-03-28,11,Keyboard,4,165.21
2023-10-21,990,Monitor,5,659.52
2023-09-18,238,Laptop,3,145.96
2024-05-18,628,Printer,1,730.47
2024-06-12,823,Printer,5,245.67
2024-06-21,260,Laptop,1,376.39
2024-07-06,157,Laptop,1,224.59
2023-12-27,429,Monitor,1,345.55
2024-07-06,852,Monitor,2,928.32
2024-04-13,302,Mouse,4,651.84
2024-05-31,364,Monitor,1,155.83
2024-07-10,531,Mouse,4,653.7
2023-07-26,567,Keyboard,1,244.99
2023-08-07,288,Printer,4,616.28
2023-12-03,69,Monitor,3,578.87
2023-11-09,368,Monitor,3,217.98
2024-03-01,628,Printer,1,288.09
2023-12-27,985,Printer,2,813.55
2024-03-10,562,Mouse,4,378.77
2023-11-28,322,Laptop,5,804.67
2023-07-20,822,Printer,2,553.51
2024-05-08,919,Printer,2,124.43
2024-07-07,700,Mouse,2,823.3
2023-10-25,859,Keyboard,3,938.92
2023-10-08,136,Monitor,2,66.94
2024-03-20,590,Printer,4,875.98
2023-12-09,563,Keyboard,1,75.02
2023-09-08,381,Printer,5,982.1
2023-12-04,945,Printer,2,715.46
2023-09-05,298,Laptop,3,977.8
2024-01-01,429,Keyboard,5,966.46
2024-02-12,262,Keyboard,3,93.18
2023-07-31,685,Mouse,2,333.06
2024-07-01,307,Mouse,3,787.65
2023-08-31,463,Mouse,3,421.06
2024-05-13,171,Laptop,2,533.95
2023-11-20,810,Printer,3,117.61
2024-06-30,279,Keyboard,4,957.01
2023-11-30,565,Laptop,2,252.04
2023-07-24,508,Printer,2,57.27
2023-09-05,578,Laptop,4,436.68
2023-10-26,156,Monitor,3,380.0
2024-03-06,662,Printer,1,839.15
2024-02-01,717,Keyboard,4,301.2
2024-03-19,84,Keyboard,4,712.04
2023-08-19,66,Printer,3,879.82
2024-06-28,50,Laptop,5,276.46
2023-09-04,170,Laptop,1,369.55
2024-01-12,484,Printer,4,205.6
2023-08-09,275,Keyboard,2,15.69
2023-08-24,902,Keyboard,5,59.19
2024-04-28,51,Keyboard,5,351.75
2023-09-06,392,Laptop,5,119.94
2023-08-03,24,Mouse,2,827.83
2023-09-28,197,Printer,1,243.09
2023-11-27,433,Mouse,3,692.11
2024-01-05,685,Laptop,2,335.99
2023-10-03,75,Mouse,4,948.2
2024-04-16,606,Laptop,4,810.49
2024-01-25,236,Monitor,5,470.3
2023-11-04,707,Keyboard,1,626.18
2023-11-27,772,Keyboard,2,667.19
2024-07-16,457,Monitor,5,840.59
2023-10-26,257,Laptop,2,362.15
2023-10-01,518,Printer,1,876.55
2024-05-11,148,Mouse,1,21.59
2024-02-29,771,Laptop,2,580.1
2024-02-01,40,Printer,1,10.67
2024-07-14,401,Printer,2,802.62
2024-07-16,598,Laptop,4,964.52
2023-08-21,945,Mouse,3,956.71
2024-01-21,380,Monitor,5,111.84
2023-09-29,516,Keyboard,3,784.54
2024-03-03,984,Monitor,1,332.76
2023-09-14,673,Keyboard,3,339.99
2023-08-08,362,Mouse,1,236.54
2024-04-30,928,Mouse,2,406.83
2023-12-21,899,Keyboard,2,348.05
2024-05-04,65,Mouse,2,76.66
2023-11-11,261,Laptop,3,699.75
2024-06-21,118,Keyboard,5,881.26
2024-07-08,161,Laptop,2,759.79
2024-05-30,555,Printer,3,272.78
2023-12-18,888,Monitor,1,812.74
2023-11-19,501,Laptop,5,638.55
2023-11-02,754,Keyboard,2,273.32
2023-07-26,308,Keyboard,5,924.03
2023-11-07,35,Monitor,5,571.2
2023-11-08,951,Mouse,2,771.2
2024-01-20,868,Printer,2,83.21
2024-06-24,676,Printer,5,184.59
2024-05-19,525,Printer,1,33.27
2023-10-11,876,Laptop,1,899.16
2024-06-16,766,Printer,5,208.38
2024-01-23,275,Laptop,1,424.57
2023-11-12,918,Monitor,2,968.29
2024-02-05,900,Mouse,4,741.86
2024-02-11,961,Mouse,2,425.52
2023-08-16,359,Laptop,3,699.74
2024-01-29,223,Laptop,1,178.56
2024-02-28,54,Monitor,1,859.27
2024-03-04,96,Printer,5,848.07
2023-08-04,438,Monitor,5,873.49
2024-01-24,586,Monitor,3,947.82
2023-12-07,924,Printer,3,930.83
2024-04-25,387,Printer,4,102.98
2024-02-22,888,Monitor,1,798.55
2024-03-16,473,Laptop,5,692.5
2023-10-17,1,Keyboard,1,179.23
2023-09-07,113,Laptop,1,254.83
2024-04-05,412,Mouse,3,581.25
2023-08-06,712,Keyboard,4,160.47
2023-09-06,579,Monitor,2,36.69
2023-08-10,840,Laptop,1,319.31
2024-01-02,438,Printer,3,255.99
2023-10-13,742,Keyboard,4,660.86
2024-02-03,960,Monitor,3,675.07
2024-06-30,840,Printer,2,404.03
2024-06-05,837,Keyboard,2,899.08
2024-02-08,222,Laptop,2,383.08
2023-10-19,567,Laptop,2,174.72
2024-07-02,314,Laptop,5,239.31
2024-02-21,862,Laptop,2,237.79
2023-08-31,539,Mouse,2,542.3
2023-12-24,34,Printer,3,720.35
2023-12-31,742,Monitor,5,159.19
2023-08-09,382,Keyboard,2,953.42
2024-03-21,153,Monitor,5,786.69
2023-12-13,314,Laptop,2,597.97
2024-04-22,38,Printer,5,946.8
2024-05-22,560,Printer,3,154.71
2023-08-21,735,Mouse,2,607.48
2024-05-26,837,Monitor,2,960.71
2024-06-10,418,Monitor,5,309.51
